project_id,project_code,project_name,project_description,project_type,department,start_date,planned_end_date,actual_end_date,duration_days,status,priority,progress_pct,health,risk_level,budget,actual_cost,currency,project_manager_id,sponsor_id,client_name,country,city,office_id,technologies,last_updated
16,PRJ-2026-016,Sales Enablement Platform,"Sales Enablement Platform is a internal project led by the Sales department. It focuses on salesforce-based solutions with a budget of 718,191 PLN. The project is currently active with 77% progress.",Internal,Sales,1/25/2026,3/5/2026,,39,Active,Medium,77,Green,Medium,718191,583238,PLN,339,236,,Poland,Lodz,55,"Salesforce, Power BI, Excel, Python",7/4/2026
17,PRJ-2025-017,Customs Compliance Framework,"Customs Compliance Framework is a internal project led by the Logistics department. It focuses on sap-based solutions with a budget of 395,158 EUR. The project is currently completed with 100% progress.",Internal,Logistics,7/30/2025,5/15/2026,6/8/2026,289,Completed,Low,100,Green,Medium,395158,412030,EUR,225,325,,Germany,Munich,68,"SAP, IoT, Python, GPS Tracking, RFID",6/8/2026
18,PRJ-2023-018,Finance Initiative 18,"Finance Initiative 18 is a infrastructure project led by the Finance department. It focuses on sap-based solutions with a budget of 2,320,949 GBP. The project is currently completed with 100% progress.",Infrastructure,Finance,11/3/2023,8/25/2024,8/14/2024,296,Completed,Low,100,Green,Low,2320949,2165288,GBP,322,34,,UK,London,56,"SAP, Power BI, SQL, Tableau, Python",8/14/2024
19,PRJ-2023-019,Lean Process Improvement,"Lean Process Improvement is a infrastructure project led by the Operations department. It focuses on sap-based solutions with a budget of 988,259 EUR. The project is currently completed with 100% progress.",Infrastructure,Operations,6/22/2023,6/12/2024,5/31/2024,356,Completed,Medium,100,Green,Medium,988259,1098772,EUR,94,112,,Germany,Cologne,26,"SAP, Python, Power BI, IoT",5/31/2024
20,PRJ-2027-020,Global Compensation Review,"Global Compensation Review is a compliance project led by the HR department. It focuses on workday-based solutions with a budget of 372,907 USD. The project is currently planned with 0% progress.",Compliance,HR,1/16/2027,2/22/2027,,37,Planned,High,0,Green,Low,372907,0,USD,174,32,,USA,Seattle,88,"Workday, SuccessFactors, Power BI",6/17/2026
21,PRJ-2025-021,Employee Engagement Survey,"Employee Engagement Survey is a client project led by the HR department. It focuses on workday-based solutions with a budget of 730,232 PLN. The project is currently active with 92% progress.",Client,HR,10/4/2025,8/7/2026,,307,Active,Medium,92,Green,Low,730232,762790,PLN,435,402,Randall Corp,Poland,Gdansk,39,"Workday, SuccessFactors, Power BI",7/4/2026
22,PRJ-2027-022,Territory Realignment,"Territory Realignment is a client project led by the Sales department. It focuses on salesforce-based solutions with a budget of 2,017,111 USD. The project is currently planned with 0% progress.",Client,Sales,4/1/2027,7/5/2027,,95,Planned,Low,0,Green,Medium,2017111,0,USD,377,345,Massive Dynamic,USA,New York,72,"Salesforce, Power BI, Excel, Python",5/28/2026
23,PRJ-2024-023,Finance Initiative 23,"Finance Initiative 23 is a compliance project led by the Finance department. It focuses on sap-based solutions with a budget of 113,361 EUR. The project is currently active with 91% progress.",Compliance,Finance,3/9/2024,3/4/2025,,360,Active,Medium,91,Green,Low,113361,108209,EUR,14,306,,Netherlands,Groningen,43,"SAP, Power BI, SQL, Tableau, Python",7/16/2026
24,PRJ-2027-024,Finance Initiative 24,"Finance Initiative 24 is a r&d project led by the Finance department. It focuses on sap-based solutions with a budget of 787,880 EUR. The project is currently planned with 0% progress.",R&D,Finance,4/15/2027,11/20/2027,,219,Planned,High,0,Green,Low,787880,0,EUR,48,405,,Germany,Berlin,11,"SAP, Power BI, SQL, Tableau, Python",6/26/2026
25,PRJ-2025-025,Cybersecurity Hardening,"Cybersecurity Hardening is a client project led by the IT department. It focuses on aws-based solutions with a budget of 1,770,980 PLN. The project is currently active with 65% progress.",Client,IT,10/15/2025,12/5/2026,,416,Active,High,65,Amber,Medium,1770980,987188,PLN,29,376,Globex Inc,Poland,Lodz,55,"AWS, Kubernetes, Python, React, PostgreSQL, Docker",7/15/2026
26,PRJ-2026-026,IP Portfolio Review,"IP Portfolio Review is a client project led by the Legal department. It focuses on docusign-based solutions with a budget of 397,674 EUR. The project is currently active with 22% progress.",Client,Legal,5/13/2026,2/26/2027,,289,Active,Low,22,Amber,High,397674,96742,EUR,398,170,Cyberdyne Systems,Germany,Berlin,11,"DocuSign, SharePoint, Power Automate",7/16/2026
27,PRJ-2026-027,API Gateway Implementation,"API Gateway Implementation is a internal project led by the IT department. It focuses on aws-based solutions with a budget of 418,238 PLN. The project is currently planned with 0% progress.",Internal,IT,10/19/2026,1/26/2028,,464,Planned,Medium,0,Green,Medium,418238,0,PLN,29,132,,Poland,Lodz,55,"AWS, Kubernetes, Python, React, PostgreSQL, Docker",7/11/2026
28,PRJ-2024-028,Cold Chain Monitoring,"Cold Chain Monitoring is a client project led by the Logistics department. It focuses on sap-based solutions with a budget of 371,669 EUR. The project is currently completed with 100% progress.",Client,Logistics,1/1/2024,8/4/2024,8/12/2024,216,Completed,Medium,100,Green,Medium,371669,399321,EUR,394,474,Aperture Science,Spain,Barcelona,9,"SAP, IoT, Python, GPS Tracking, RFID",8/12/2024
29,PRJ-2025-029,Finance Initiative 29,"Finance Initiative 29 is a client project led by the Finance department. It focuses on sap-based solutions with a budget of 598,206 EUR. The project is currently on hold with 61% progress.",Client,Finance,9/17/2025,2/18/2027,,519,On Hold,Medium,61,Amber,Low,598206,342582,EUR,48,10,Aperture Science,Germany,Berlin,11,"SAP, Power BI, SQL, Tableau, Python",7/3/2026
30,PRJ-2026-030,Finance Initiative 30,"Finance Initiative 30 is a infrastructure project led by the Finance department. It focuses on sap-based solutions with a budget of 2,621,895 EUR. The project is currently planned with 0% progress.",Infrastructure,Finance,7/30/2026,12/5/2027,,493,Planned,High,0,Green,Medium,2621895,0,EUR,263,441,,Germany,Düsseldorf,33,"SAP, Power BI, SQL, Tableau, Python",5/19/2026
